['41.378436#2.138786#0', '41.383441#2.177031#0', '41.383415#2.183213#0'] 
['41.378436#2.138786#0', '41.381168#2.123673#1'] 
['41.378436#2.138786#0', '41.382099#2.172721#0'] 
['41.378436#2.138786#0', '41.382099#2.172721#1'] 
['41.378436#2.138786#0', '41.386905#2.169752#0'] 
['41.377075#2.169993#1', '41.382546#2.165596#1'] 
['41.377075#2.169993#1', '41.393749#2.162675#1'] 
['41.377075#2.169993#1', '41.378258#2.176703#1'] 
['41.378766#2.190555#0', '41.377075#2.169993#1'] 
['41.382099#2.172721#0', '41.377075#2.169993#1'] 
['41.377075#2.169993#1', '41.382099#2.172721#1'] 
['41.377075#2.169993#1', '41.386905#2.169752#1'] 
['41.403150#2.157563#0', '41.406307#2.155534#1'] 
['41.406307#2.155534#1', '41.398599#2.158366#1'] 
['41.406307#2.155534#1', '41.403150#2.157563#1'] 
['41.406307#2.155534#1', '41.403287#2.174304#1'] 
['41.383415#2.183213#0', '41.406307#2.155534#1'] 
['41.369792#2.189564#0', '41.385534#2.196806#1'] 
['41.369792#2.189564#0', '41.393749#2.162675#1'] 
['41.369792#2.189564#0', '41.378766#2.190555#0'] 
['41.369792#2.189564#0', '41.403287#2.174304#0'] 
['41.369792#2.189564#0', '41.382099#2.172721#0'] 
['41.369792#2.189564#0', '41.386905#2.169752#0'] 
['41.369792#2.189564#0', '41.383415#2.183213#1'] 
['41.375827#2.183060#1', '41.385534#2.196806#1'] 
['41.391601#2.166231#0', '41.375827#2.183060#1'] 
['41.375827#2.183060#1', '41.370687#2.152113#1'] 
['41.381168#2.123673#0', '41.375827#2.183060#1'] 
['41.375827#2.183060#1', '41.378258#2.176703#1'] 
['41.375827#2.183060#1', '41.378766#2.190555#1'] 
['41.403287#2.174304#0', '41.375827#2.183060#1'] 
['41.382099#2.172721#0', '41.375827#2.183060#1'] 
['41.375827#2.183060#1', '41.382099#2.172721#1'] 
['41.386905#2.169752#0', '41.375827#2.183060#1', '41.386905#2.169752#1'] 
['41.375827#2.183060#1', '41.383415#2.183213#1'] 
['41.413339#2.153223#0', '41.375914#2.149117#0'] 
['41.413339#2.153223#0', '41.375914#2.149117#1'] 
['41.413339#2.153223#0', '41.391601#2.166231#0'] 
['41.413339#2.153223#0', '41.385676#2.159361#1'] 
['41.413339#2.153223#0', '41.381168#2.123673#0'] 
['41.413339#2.153223#0', '41.391601#2.166231#1'] 
['41.413339#2.153223#0', '41.383441#2.177031#0'] 
['41.413339#2.153223#0', '41.378766#2.190555#1'] 
['41.413339#2.153223#0', '41.403287#2.174304#1'] 
['41.413339#2.153223#0', '41.403287#2.174304#0'] 
['41.413339#2.153223#0', '41.382099#2.172721#0'] 
['41.413339#2.153223#0', '41.382099#2.172721#1'] 
['41.413339#2.153223#0', '41.386905#2.169752#1'] 
['41.413339#2.153223#0', '41.383415#2.183213#0'] 
['41.413339#2.153223#0', '41.386905#2.169752#0'] 
['41.413339#2.153223#0', '41.383415#2.183213#1'] 
['41.398599#2.158366#0', '41.403150#2.157563#0'] 
['41.398599#2.158366#0', '41.403150#2.157563#1'] 
['41.398599#2.158366#0', '41.393749#2.162675#0'] 
['41.388478#2.164382#0', '41.382546#2.165596#0'] 
['41.388478#2.164382#0', '41.389480#2.179754#0'] 
['41.388478#2.164382#0', '41.391601#2.166231#0'] 
['41.388478#2.164382#0', '41.393749#2.162675#0'] 
['41.388478#2.164382#0', '41.381168#2.123673#0'] 
['41.388478#2.164382#0', '41.393749#2.162675#1'] 
['41.388478#2.164382#0', '41.296380#2.076897#0'] 
['41.388478#2.164382#0', '41.382099#2.172721#0'] 
['41.388478#2.164382#0', '41.382099#2.172721#1'] 
['41.388478#2.164382#0', '41.386905#2.169752#1'] 
['41.388478#2.164382#0', '41.386905#2.169752#0'] 
['41.405798#2.131258#1', '41.386806#2.153874#1'] 
['41.378258#2.176703#0', '41.405798#2.131258#1'] 
['41.405798#2.131258#1', '41.370687#2.152113#1'] 
['41.405798#2.131258#1', '41.393749#2.162675#1'] 
['41.405798#2.131258#1', '41.383441#2.177031#1'] 
['41.405798#2.131258#1', '41.403287#2.174304#1'] 
['41.403287#2.174304#0', '41.405798#2.131258#1'] 
['41.405798#2.131258#1', '41.382099#2.172721#1'] 
['41.405798#2.131258#1', '41.386905#2.169752#1'] 
['41.383415#2.183213#0', '41.405798#2.131258#1'] 
['41.386905#2.169752#0', '41.405798#2.131258#1'] 
['41.405798#2.131258#1', '41.383415#2.183213#1'] 
['41.385676#2.159361#0', '41.378766#2.190555#1'] 
['41.385676#2.159361#0', '41.382099#2.172721#0'] 
['41.385676#2.159361#0', '41.386905#2.169752#1'] 
['41.385676#2.159361#0', '41.386905#2.169752#0'] 
['41.385676#2.159361#0', '41.383415#2.183213#1'] 
['41.369792#2.189564#1', '41.385534#2.196806#1'] 
['41.369792#2.189564#1', '41.393749#2.162675#1'] 
['41.378766#2.190555#0', '41.369792#2.189564#1'] 
['41.369792#2.189564#1', '41.383441#2.177031#1'] 
['41.369792#2.189564#1', '41.378766#2.190555#1'] 
['41.369792#2.189564#1', '41.381168#2.123673#1'] 
['41.369792#2.189564#1', '41.382099#2.172721#1'] 
['41.383415#2.183213#0', '41.369792#2.189564#1'] 
['41.386905#2.169752#0', '41.369792#2.189564#1'] 
['41.369792#2.189564#1', '41.383415#2.183213#1'] 
['41.386806#2.153874#1', '41.385676#2.159361#1'] 
['41.378766#2.190555#0', '41.386806#2.153874#1'] 
['41.386806#2.153874#1', '41.378766#2.190555#1'] 
['41.403287#2.174304#0', '41.386806#2.153874#1'] 
['41.382099#2.172721#0', '41.386806#2.153874#1'] 
['41.386806#2.153874#1', '41.386905#2.169752#1'] 
